,Unnamed: 0,ID,permalink,username,text,date,formatted_date,retweets,favorites,mentions,hashtags,geo,urls,author_id,Anger,Disgust,Fear,Joy,Sadness,Surprise,is_english,polarity_of_tweet,has_yoshua,has_gary
11,11,1211830521484976128,https://twitter.com/Montreal_AI/status/1211830521484976128,,"The AI field is in its infancy. A great definition of deep learning would allow the field to be more welcoming, to extend its reach to other fields and to illuminate the state of discourse. #AIDebate pic.twitter.com/u85tDxoTQl",2019-12-31 02:04:45,Tue Dec 31 02:04:45 +0000 2019,6,23,,#AIDebate,,,919860212,0.007286770734935999,0.0065000467002391815,0.2147982269525528,0.7638415694236755,0.00417170999571681,0.0034017020370811224,True,0.4,False,False
12,12,1211774907073232896,https://twitter.com/DrLabdeck/status/1211774907073232896,,This past decade will be known as the decade when we didn't perceive #Alexa as a threat. #skynet #AIDebate #2020WillBeTheYearFor,2019-12-30 22:23:46,Mon Dec 30 22:23:46 +0000 2019,1,2,,#Alexa #skynet #AIDebate #2020WillBeTheYearFor,,,323840150,0.002058538142591715,0.0006478540599346161,0.08411506563425064,0.06292587518692017,0.005383505951613188,0.8448691368103027,True,-0.25,False,False
13,13,1211754515151704065,https://twitter.com/nafiz_h/status/1211754515151704065,,/s #AIDebate https:// twitter.com/zergylord/stat us/1211493810020196353 …,2019-12-30 21:02:44,Mon Dec 30 21:02:44 +0000 2019,0,4,,#AIDebate,,https://twitter.com/zergylord/status/1211493810020196353,3095056652,0.0021875095553696156,0.0005602702731266618,0.02461373805999756,0.2629503905773163,0.006982801482081413,0.7027052640914917,True,0.0,False,False
14,14,1211754148674375691,https://twitter.com/DominicGarneau/status/1211754148674375691,,Honoré d'avoir participé à cet événement marquant pour la suite de l'histoire de l' #IntelligenceArtificielle . #AIDebate https:// twitter.com/aigirlcoppelia /status/1211683788025139202 …,2019-12-30 21:01:17,Mon Dec 30 21:01:17 +0000 2019,3,4,,#IntelligenceArtificielle #AIDebate,,https://twitter.com/aigirlcoppelia/status/1211683788025139202,154572202,0.20089437067508698,0.038652047514915466,0.29221028089523315,0.33230453729629517,0.024688946083188057,0.11124981939792633,False,0.0,False,False
15,15,1211748507566120960,https://twitter.com/BIAFRA24/status/1211748507566120960,,With #Anambra Tax payers money this lady and her husband (Gov W Obiano) is really helping Texas in USA to deal with poverty. #Dallas @texasgov responsibility! hmmmm we didn’t know African state governor is giving to Texas #AIDebate https:// twitter.com/The042Network/ status/1211679370005356545 …,2019-12-30 20:38:52,Mon Dec 30 20:38:52 +0000 2019,0,0,@texasgov,#Anambra #Dallas #AIDebate,,https://twitter.com/The042Network/status/1211679370005356545,2919509573,0.01624158024787903,0.030458178371191025,0.19776193797588348,0.2168118953704834,0.03266104310750961,0.5060653686523438,True,0.1,False,False
16,16,1211747974688194561,https://twitter.com/Bullshit_AI/status/1211747974688194561,,"When few outliers point out serious problems e.g. lack of definitions and basic consensus, #landgrab and group-think, here is some polling the same group (""do you think you fucked up?"") to declare there is no problem. So objective! #AIDebate #deeplearning #MachineLearning https:// twitter.com/jachiam0/statu s/1210600717481922560 …",2019-12-30 20:36:45,Mon Dec 30 20:36:45 +0000 2019,0,0,,#landgrab #AIDebate #deeplearning #MachineLearning,,https://twitter.com/jachiam0/status/1210600717481922560,1066738010178428929,0.0449848547577858,0.005405557341873646,0.3493068814277649,0.19462372362613678,0.09712953865528107,0.3085494637489319,True,-0.23333333333333334,False,False
17,17,1211743987490598913,https://twitter.com/Bullshit_AI/status/1211743987490598913,,"So, math & stats is #deeplearning , generalization is simplicity ... and what's next? @ylecun is @GaryMarcus and Hinton is Newton? Simpler models are likely (not always) to generalize better, that doesn't mean generalization := \equiv simplicity. #AIDebate #MachineLearning #AI https:// twitter.com/DeepSpiker/sta tus/1211393790432468993 …",2019-12-30 20:20:54,Mon Dec 30 20:20:54 +0000 2019,1,0,@ylecun @GaryMarcus,#deeplearning #AIDebate #MachineLearning #AI,,https://twitter.com/DeepSpiker/status/1211393790432468993,1066738010178428929,0.014373860321938992,0.00321062165312469,0.06021605804562569,0.9190632700920105,0.0017265614587813616,0.0014096113154664636,True,0.046875,False,True
18,18,1211743899040894976,https://twitter.com/reiinakano/status/1211743899040894976,,Clearly the true winner of the #AIDebate,2019-12-30 20:20:33,Mon Dec 30 20:20:33 +0000 2019,1,5,,#AIDebate,,,70098171,0.024531200528144836,0.007641546428203583,0.3556922972202301,0.12538385391235352,0.03114619106054306,0.4556049108505249,True,0.35,False,False
19,19,1211732536482844672,https://twitter.com/ceobillionaire/status/1211732536482844672,,"Will do, for Event 2, to be unveiled soon. But, Event 1 #AIDebate if not over yet ;)",2019-12-30 19:35:24,Mon Dec 30 19:35:24 +0000 2019,2,1,,#AIDebate,,,176540776,0.0010848408564925194,0.00027346625574864447,0.021106427535414696,0.04610506445169449,0.02461829222738743,0.9068118929862976,True,0.0,False,False
20,20,1211717833874231297,https://twitter.com/MCMedSociety/status/1211717833874231297,,Do you agree? What other trends do u see 4 #2020? #AIDebate #WearableTech #extendedreality https://www. forbes.com/sites/bernardm arr/2019/11/01/the-9-biggest-technology-trends-that-will-transform-medicine-and-healthcare-in-2020/#70bdaf3372cd …,2019-12-30 18:36:58,Mon Dec 30 18:36:58 +0000 2019,1,2,,#2020 #AIDebate #WearableTech #extendedreality #70bdaf3372cd,,https://www.forbes.com/sites/bernardmarr/2019/11/01/the-9-biggest-technology-trends-that-will-transform-medicine-and-healthcare-in-2020/#70bdaf3372cd,30742344,0.21821735799312592,0.022118689492344856,0.21973755955696106,0.463855504989624,0.009099103510379791,0.0669717937707901,True,0.0,False,False
